CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.902344 1567437215.3214
MEM 18.175781 1567437215.4297
MEM 35.410156 1567437215.5447
MEM 44.187500 1567437215.6527
MEM 65.164062 1567437215.7607
MEM 75.054688 1567437215.8687
MEM 83.062500 1567437215.9766
MEM 128.265625 1567437216.0847
MEM 164.699219 1567437216.1928
MEM 165.214844 1567437216.3010
MEM 174.347656 1567437216.4090
MEM 181.941406 1567437216.5171
MEM 188.640625 1567437216.6252
MEM 197.632812 1567437216.7331
MEM 207.035156 1567437216.8411
MEM 215.535156 1567437216.9493
MEM 218.792969 1567437217.0632
MEM 228.218750 1567437217.1713
MEM 235.472656 1567437217.2793
MEM 251.640625 1567437217.3872
MEM 258.343750 1567437217.4955
MEM 265.734375 1567437217.6035
MEM 274.375000 1567437217.7115
MEM 291.132812 1567437217.8195
MEM 307.632812 1567437217.9274
MEM 340.765625 1567437218.0355
MEM 366.933594 1567437218.1437
MEM 472.378906 1567437218.2521
MEM 635.574219 1567437218.3602
MEM 681.015625 1567437218.4685
MEM 644.527344 1567437218.5773
MEM 712.273438 1567437218.6856
CHLD 0 601.132812 1567437218.6943
CHLD 1 601.136719 1567437218.6944
CHLD 2 601.136719 1567437218.6944
MEM 712.464844 1567437218.7949
CHLD 0 0.000000 1567437218.8178
MEM 712.703125 1567437218.9183
MEM 712.410156 1567437219.0282
MEM 293.710938 1567437219.1364
