CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.039062 1567439863.0158
MEM 17.585938 1567439863.1241
MEM 34.152344 1567439863.2405
MEM 42.371094 1567439863.3486
MEM 64.304688 1567439863.4590
MEM 73.777344 1567439863.5718
MEM 82.191406 1567439863.6852
MEM 123.367188 1567439863.7984
MEM 162.929688 1567439863.9099
MEM 165.089844 1567439864.0229
MEM 170.789062 1567439864.1368
MEM 180.417969 1567439864.2499
MEM 185.441406 1567439864.3632
MEM 193.914062 1567439864.4764
MEM 206.398438 1567439864.5896
MEM 213.015625 1567439864.6976
MEM 217.960938 1567439864.8056
MEM 230.039062 1567439864.9136
MEM 236.738281 1567439865.0215
MEM 252.847656 1567439865.1301
MEM 258.726562 1567439865.2381
MEM 266.007812 1567439865.3502
MEM 275.207031 1567439865.4635
MEM 291.964844 1567439865.5760
MEM 308.464844 1567439865.6886
MEM 366.074219 1567439865.8012
MEM 367.242188 1567439865.9145
MEM 459.281250 1567439866.0259
MEM 620.671875 1567439866.1390
MEM 681.324219 1567439866.2521
MEM 650.679688 1567439866.3673
MEM 712.562500 1567439866.4755
CHLD 0 601.042969 1567439866.4834
MEM 848.054688 1567439866.5838
CHLD 0 601.042969 1567439866.5920
CHLD 1 601.050781 1567439866.5921
CHLD 2 601.050781 1567439866.5921
CHLD 3 601.050781 1567439866.5922
MEM 1050.953125 1567439866.6925
CHLD 0 601.042969 1567439866.7007
CHLD 1 601.050781 1567439866.7007
CHLD 2 601.050781 1567439866.7007
CHLD 3 601.050781 1567439866.7008
MEM 1246.847656 1567439866.8012
CHLD 0 601.042969 1567439866.8094
CHLD 1 601.050781 1567439866.8095
CHLD 2 601.050781 1567439866.8095
CHLD 3 601.050781 1567439866.8096
MEM 1438.601562 1567439866.9099
CHLD 0 601.042969 1567439866.9181
CHLD 1 601.050781 1567439866.9181
CHLD 2 601.050781 1567439866.9182
CHLD 3 601.050781 1567439866.9182
MEM 1136.742188 1567439867.0186
CHLD 0 640.976562 1567439867.0319
CHLD 1 601.050781 1567439867.0320
CHLD 2 601.050781 1567439867.0320
CHLD 3 601.050781 1567439867.0321
MEM 1136.742188 1567439867.1327
CHLD 0 775.039062 1567439867.1491
CHLD 1 601.050781 1567439867.1492
CHLD 2 601.050781 1567439867.1493
CHLD 3 601.050781 1567439867.1494
MEM 1136.742188 1567439867.2498
CHLD 0 927.148438 1567439867.2587
CHLD 1 601.050781 1567439867.2587
CHLD 2 601.050781 1567439867.2588
CHLD 3 601.050781 1567439867.2588
MEM 744.218750 1567439867.3598
CHLD 0 1104.781250 1567439867.3751
CHLD 1 601.050781 1567439867.3752
CHLD 2 601.050781 1567439867.3752
CHLD 3 601.050781 1567439867.3753
MEM 953.562500 1567439867.4758
CHLD 0 1303.554688 1567439867.4908
CHLD 1 601.050781 1567439867.4909
CHLD 2 601.050781 1567439867.4909
CHLD 3 601.050781 1567439867.4910
MEM 1156.460938 1567439867.5915
CHLD 0 1051.699219 1567439867.6058
CHLD 1 601.050781 1567439867.6059
CHLD 2 601.050781 1567439867.6059
CHLD 3 601.050781 1567439867.6060
MEM 1352.656250 1567439867.7065
CHLD 0 1253.566406 1567439867.7235
CHLD 1 601.050781 1567439867.7236
CHLD 2 601.050781 1567439867.7237
CHLD 3 601.050781 1567439867.7237
MEM 1531.875000 1567439867.8242
CHLD 0 1415.625000 1567439867.8384
