CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.839844 1567442922.1193
MEM 15.597656 1567442922.2351
MEM 33.070312 1567442922.3513
MEM 41.292969 1567442922.4628
MEM 62.835938 1567442922.5733
MEM 72.839844 1567442922.6823
MEM 80.609375 1567442922.7922
MEM 123.691406 1567442922.9034
MEM 163.785156 1567442923.0124
MEM 165.558594 1567442923.1214
MEM 172.679688 1567442923.2303
MEM 180.976562 1567442923.3392
MEM 185.023438 1567442923.4481
MEM 193.445312 1567442923.5570
MEM 205.539062 1567442923.6668
MEM 211.277344 1567442923.7757
MEM 217.007812 1567442923.8851
MEM 228.566406 1567442923.9940
MEM 236.007812 1567442924.1030
MEM 250.953125 1567442924.2119
MEM 257.718750 1567442924.3263
MEM 264.308594 1567442924.4402
MEM 266.894531 1567442924.5492
MEM 277.617188 1567442924.6583
MEM 294.117188 1567442924.7673
MEM 310.617188 1567442924.8762
MEM 366.140625 1567442924.9853
MEM 367.066406 1567442925.0945
MEM 505.253906 1567442925.2035
MEM 671.800781 1567442925.3126
MEM 681.148438 1567442925.4219
MEM 669.921875 1567442925.5370
MEM 745.093750 1567442925.6463
CHLD 0 601.125000 1567442925.6562
CHLD 1 601.132812 1567442925.6563
CHLD 2 601.132812 1567442925.6563
CHLD 3 601.132812 1567442925.6564
MEM 951.601562 1567442925.7569
CHLD 0 601.125000 1567442925.7677
CHLD 1 601.132812 1567442925.7677
CHLD 2 601.132812 1567442925.7677
CHLD 3 601.132812 1567442925.7678
MEM 1156.007812 1567442925.8682
CHLD 0 601.125000 1567442925.8776
CHLD 1 601.132812 1567442925.8776
CHLD 2 601.132812 1567442925.8777
CHLD 3 601.132812 1567442925.8777
MEM 1355.039062 1567442925.9781
CHLD 0 601.125000 1567442925.9875
CHLD 1 601.132812 1567442925.9875
CHLD 2 601.132812 1567442925.9875
CHLD 3 601.132812 1567442925.9876
MEM 1549.792969 1567442926.0880
CHLD 0 601.125000 1567442926.0975
CHLD 1 601.132812 1567442926.0976
CHLD 2 601.132812 1567442926.0976
CHLD 3 601.132812 1567442926.0976
MEM 1136.558594 1567442926.1981
CHLD 0 722.250000 1567442926.2142
CHLD 1 601.132812 1567442926.2143
CHLD 2 601.132812 1567442926.2143
CHLD 3 601.132812 1567442926.2144
MEM 1136.558594 1567442926.3149
CHLD 0 885.187500 1567442926.3246
CHLD 1 601.132812 1567442926.3247
CHLD 2 601.132812 1567442926.3247
CHLD 3 601.132812 1567442926.3247
MEM 1136.558594 1567442926.4252
CHLD 0 1045.031250 1567442926.4424
CHLD 1 601.132812 1567442926.4425
CHLD 2 601.132812 1567442926.4426
CHLD 3 601.132812 1567442926.4426
MEM 715.171875 1567442926.5431
CHLD 0 1256.695312 1567442926.5593
CHLD 1 601.132812 1567442926.5594
CHLD 2 601.132812 1567442926.5595
CHLD 3 601.132812 1567442926.5595
MEM 715.171875 1567442926.6600
CHLD 0 1216.699219 1567442926.6735
CHLD 1 601.132812 1567442926.6735
CHLD 2 601.132812 1567442926.6736
CHLD 3 601.132812 1567442926.6736
MEM 715.171875 1567442926.7741
CHLD 0 1208.113281 1567442926.7900
CHLD 1 601.132812 1567442926.7901
CHLD 2 601.132812 1567442926.7902
CHLD 3 601.132812 1567442926.7902
MEM 715.171875 1567442926.8907
CHLD 0 1403.851562 1567442926.9065
CHLD 1 601.132812 1567442926.9066
CHLD 2 601.132812 1567442926.9066
CHLD 3 601.132812 1567442926.9067
MEM 715.398438 1567442927.0071
CHLD 0 1021.281250 1567442927.0197
CHLD 1 0.000000 1567442927.0198
CHLD 2 0.000000 1567442927.0199
CHLD 3 0.000000 1567442927.0199
MEM 715.519531 1567442927.1203
MEM 715.605469 1567442927.2342
MEM 715.363281 1567442927.3485
