CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.953125 1567443402.1636
MEM 17.265625 1567443402.2726
MEM 33.894531 1567443402.3901
MEM 41.074219 1567443402.4987
MEM 51.921875 1567443402.6073
MEM 67.050781 1567443402.7166
MEM 73.171875 1567443402.8250
MEM 78.308594 1567443402.9351
MEM 102.109375 1567443403.0437
MEM 159.722656 1567443403.1566
MEM 162.734375 1567443403.2650
MEM 167.578125 1567443403.3732
MEM 176.671875 1567443403.4816
MEM 182.105469 1567443403.5909
MEM 190.089844 1567443403.6993
MEM 202.718750 1567443403.8076
MEM 208.128906 1567443403.9161
MEM 213.203125 1567443404.0255
MEM 216.945312 1567443404.1342
MEM 228.710938 1567443404.2485
MEM 234.601562 1567443404.3612
MEM 250.730469 1567443404.4698
MEM 255.265625 1567443404.5789
MEM 263.039062 1567443404.6921
MEM 265.691406 1567443404.8012
MEM 279.003906 1567443404.9114
MEM 293.699219 1567443405.0220
MEM 308.652344 1567443405.1365
MEM 358.773438 1567443405.2508
MEM 364.824219 1567443405.3651
MEM 488.574219 1567443405.4772
MEM 644.292969 1567443405.5910
MEM 678.906250 1567443405.7048
MEM 649.910156 1567443405.8208
MEM 710.105469 1567443405.9325
CHLD 0 601.195312 1567443405.9424
CHLD 1 601.195312 1567443405.9425
CHLD 2 601.195312 1567443405.9425
MEM 897.152344 1567443406.0430
CHLD 0 601.195312 1567443406.0517
CHLD 1 601.195312 1567443406.0518
CHLD 2 601.195312 1567443406.0518
CHLD 3 601.199219 1567443406.0518
MEM 1098.984375 1567443406.1523
CHLD 0 601.195312 1567443406.1613
CHLD 1 601.195312 1567443406.1613
CHLD 2 601.195312 1567443406.1614
CHLD 3 601.199219 1567443406.1614
MEM 1293.890625 1567443406.2618
CHLD 0 601.195312 1567443406.2718
CHLD 1 601.195312 1567443406.2718
CHLD 2 601.195312 1567443406.2719
CHLD 3 601.199219 1567443406.2719
MEM 1471.453125 1567443406.3723
CHLD 0 601.195312 1567443406.3820
CHLD 1 601.195312 1567443406.3821
CHLD 2 601.195312 1567443406.3821
CHLD 3 601.199219 1567443406.3822
MEM 1134.277344 1567443406.4825
CHLD 0 641.605469 1567443406.4920
CHLD 1 601.195312 1567443406.4921
CHLD 2 601.195312 1567443406.4921
CHLD 3 601.199219 1567443406.4922
MEM 1134.277344 1567443406.5927
CHLD 0 776.699219 1567443406.6063
CHLD 1 601.195312 1567443406.6065
CHLD 2 601.195312 1567443406.6066
CHLD 3 601.199219 1567443406.6067
MEM 1134.277344 1567443406.7073
CHLD 0 908.957031 1567443406.7230
CHLD 1 601.195312 1567443406.7231
CHLD 2 601.195312 1567443406.7231
CHLD 3 601.199219 1567443406.7232
MEM 1134.277344 1567443406.8237
CHLD 0 1025.746094 1567443406.8405
CHLD 1 601.195312 1567443406.8406
CHLD 2 601.195312 1567443406.8406
CHLD 3 601.199219 1567443406.8407
MEM 817.039062 1567443406.9412
CHLD 0 1180.949219 1567443406.9570
CHLD 1 601.195312 1567443406.9571
CHLD 2 601.195312 1567443406.9572
CHLD 3 601.199219 1567443406.9573
MEM 995.960938 1567443407.0577
CHLD 0 1338.472656 1567443407.0766
CHLD 1 601.195312 1567443407.0766
CHLD 2 601.195312 1567443407.0767
CHLD 3 601.199219 1567443407.0768
MEM 1151.164062 1567443407.1772
CHLD 0 1065.175781 1567443407.1866
CHLD 1 601.195312 1567443407.1867
CHLD 2 601.195312 1567443407.1867
CHLD 3 601.199219 1567443407.1868
MEM 1288.578125 1567443407.2872
CHLD 0 1151.785156 1567443407.2959
CHLD 1 601.210938 1567443407.2959
CHLD 2 601.195312 1567443407.2959
CHLD 3 601.199219 1567443407.2960
MEM 1418.000000 1567443407.3964
CHLD 0 1267.285156 1567443407.4087
CHLD 1 601.210938 1567443407.4087
CHLD 2 601.195312 1567443407.4088
CHLD 3 601.199219 1567443407.4088
MEM 1529.179688 1567443407.5109
CHLD 0 1414.500000 1567443407.5344
CHLD 1 601.210938 1567443407.5345
CHLD 2 601.195312 1567443407.5346
CHLD 3 601.199219 1567443407.5346
MEM 1134.289062 1567443407.6351
CHLD 0 1025.007812 1567443407.6598
CHLD 1 726.207031 1567443407.6599
CHLD 2 601.195312 1567443407.6600
CHLD 3 601.199219 1567443407.6600
CHLD 4 5.617188 1567443407.6601
