CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.011719 1567449615.6455
MEM 16.210938 1567449615.7537
MEM 34.199219 1567449615.8791
MEM 42.695312 1567449615.9916
MEM 63.660156 1567449616.1036
MEM 69.261719 1567449616.2180
MEM 77.328125 1567449616.3255
MEM 84.796875 1567449616.4330
MEM 138.753906 1567449616.5405
MEM 162.949219 1567449616.6484
MEM 163.203125 1567449616.7563
MEM 174.539062 1567449616.8637
MEM 180.167969 1567449616.9711
MEM 187.593750 1567449617.0785
MEM 199.515625 1567449617.1859
MEM 205.968750 1567449617.2933
MEM 213.007812 1567449617.4009
MEM 221.019531 1567449617.5085
MEM 231.308594 1567449617.6159
MEM 240.175781 1567449617.7234
MEM 252.750000 1567449617.8316
MEM 257.683594 1567449617.9393
MEM 264.175781 1567449618.0467
MEM 276.644531 1567449618.1541
MEM 292.628906 1567449618.2616
MEM 308.871094 1567449618.3690
MEM 335.175781 1567449618.4783
MEM 363.562500 1567449618.5872
MEM 443.742188 1567449618.6948
MEM 593.273438 1567449618.8024
MEM 677.648438 1567449618.9115
MEM 632.785156 1567449619.0207
MEM 708.472656 1567449619.1284
MEM 708.980469 1567449619.2370
CHLD 0 601.253906 1567449619.2495
CHLD 1 601.253906 1567449619.2495
CHLD 2 601.253906 1567449619.2496
CHLD 3 601.253906 1567449619.2497
CHLD 4 0.000000 1567449619.2497
CHLD 5 0.000000 1567449619.2498
MEM 709.003906 1567449619.3503
CHLD 0 601.253906 1567449619.3628
CHLD 1 601.253906 1567449619.3629
CHLD 2 601.253906 1567449619.3630
CHLD 3 601.253906 1567449619.3630
MEM 709.003906 1567449619.4635
CHLD 0 601.253906 1567449619.4756
CHLD 1 601.253906 1567449619.4756
CHLD 2 601.253906 1567449619.4757
CHLD 3 601.253906 1567449619.4757
MEM 709.003906 1567449619.5762
CHLD 0 601.253906 1567449619.5878
CHLD 1 601.253906 1567449619.5878
CHLD 2 601.253906 1567449619.5878
CHLD 3 601.253906 1567449619.5879
MEM 709.003906 1567449619.6883
CHLD 0 601.253906 1567449619.6998
CHLD 1 601.253906 1567449619.6998
CHLD 2 601.253906 1567449619.6999
CHLD 3 601.253906 1567449619.6999
MEM 709.003906 1567449619.8004
CHLD 0 601.253906 1567449619.8124
CHLD 1 601.253906 1567449619.8125
CHLD 2 601.253906 1567449619.8125
CHLD 3 601.253906 1567449619.8126
MEM 709.003906 1567449619.9131
CHLD 0 601.253906 1567449619.9256
CHLD 1 601.253906 1567449619.9257
CHLD 2 601.253906 1567449619.9257
CHLD 3 601.253906 1567449619.9258
MEM 709.003906 1567449620.0264
CHLD 0 601.253906 1567449620.0424
CHLD 1 601.253906 1567449620.0424
CHLD 2 601.253906 1567449620.0425
CHLD 3 601.253906 1567449620.0425
MEM 709.003906 1567449620.1430
CHLD 0 601.253906 1567449620.1556
CHLD 1 601.253906 1567449620.1556
CHLD 2 601.253906 1567449620.1557
CHLD 3 601.253906 1567449620.1557
MEM 709.003906 1567449620.2563
CHLD 0 601.253906 1567449620.2678
CHLD 1 601.253906 1567449620.2678
CHLD 2 601.253906 1567449620.2679
CHLD 3 601.253906 1567449620.2679
MEM 709.003906 1567449620.3684
CHLD 0 601.253906 1567449620.3808
CHLD 1 601.253906 1567449620.3809
CHLD 2 601.253906 1567449620.3809
CHLD 3 601.253906 1567449620.3810
MEM 709.003906 1567449620.4815
CHLD 0 601.253906 1567449620.4941
CHLD 1 601.253906 1567449620.4942
CHLD 2 601.253906 1567449620.4942
CHLD 3 601.253906 1567449620.4943
MEM 709.003906 1567449620.5947
CHLD 0 601.253906 1567449620.6022
CHLD 1 601.253906 1567449620.6022
CHLD 2 601.253906 1567449620.6022
CHLD 3 601.253906 1567449620.6023
MEM 709.003906 1567449620.7028
CHLD 0 601.253906 1567449620.7163
CHLD 1 601.253906 1567449620.7164
CHLD 2 601.253906 1567449620.7165
CHLD 3 601.253906 1567449620.7166
MEM 709.003906 1567449620.8171
CHLD 0 601.253906 1567449620.8282
CHLD 1 601.253906 1567449620.8282
CHLD 2 601.253906 1567449620.8283
CHLD 3 601.253906 1567449620.8283
MEM 709.003906 1567449620.9288
CHLD 0 601.253906 1567449620.9401
CHLD 1 601.253906 1567449620.9401
CHLD 2 601.253906 1567449620.9401
CHLD 3 601.253906 1567449620.9402
MEM 709.003906 1567449621.0407
CHLD 0 601.253906 1567449621.0536
CHLD 1 601.253906 1567449621.0537
CHLD 2 601.253906 1567449621.0538
CHLD 3 601.253906 1567449621.0538
MEM 709.003906 1567449621.1544
CHLD 0 601.253906 1567449621.1667
CHLD 1 601.253906 1567449621.1668
CHLD 2 601.253906 1567449621.1668
CHLD 3 601.253906 1567449621.1668
MEM 709.003906 1567449621.2674
CHLD 0 601.253906 1567449621.2808
CHLD 1 601.253906 1567449621.2809
CHLD 2 601.253906 1567449621.2809
CHLD 3 601.253906 1567449621.2810
MEM 709.003906 1567449621.3815
CHLD 0 601.253906 1567449621.3969
CHLD 1 601.253906 1567449621.3970
CHLD 2 601.253906 1567449621.3970
CHLD 3 601.253906 1567449621.3970
MEM 709.003906 1567449621.4975
CHLD 0 601.253906 1567449621.5098
CHLD 1 601.253906 1567449621.5098
CHLD 2 601.253906 1567449621.5099
CHLD 3 601.253906 1567449621.5099
MEM 709.003906 1567449621.6104
CHLD 0 601.253906 1567449621.6249
CHLD 1 601.253906 1567449621.6250
CHLD 2 601.253906 1567449621.6251
CHLD 3 601.253906 1567449621.6251
MEM 709.003906 1567449621.7255
CHLD 0 601.253906 1567449621.7334
CHLD 1 601.253906 1567449621.7335
CHLD 2 601.253906 1567449621.7335
CHLD 3 601.253906 1567449621.7336
MEM 709.003906 1567449621.8339
CHLD 0 601.253906 1567449621.8412
CHLD 1 601.253906 1567449621.8413
CHLD 2 601.253906 1567449621.8413
CHLD 3 601.253906 1567449621.8413
MEM 709.003906 1567449621.9417
CHLD 0 601.253906 1567449621.9493
CHLD 1 601.253906 1567449621.9494
CHLD 2 601.253906 1567449621.9494
CHLD 3 601.253906 1567449621.9494
MEM 709.003906 1567449622.0499
CHLD 0 601.253906 1567449622.0625
CHLD 1 601.253906 1567449622.0625
CHLD 2 601.253906 1567449622.0625
CHLD 3 601.253906 1567449622.0626
MEM 709.003906 1567449622.1631
CHLD 0 601.253906 1567449622.1752
CHLD 1 601.253906 1567449622.1753
CHLD 2 601.253906 1567449622.1753
CHLD 3 601.253906 1567449622.1753
MEM 709.003906 1567449622.2759
CHLD 0 601.253906 1567449622.2887
CHLD 1 601.253906 1567449622.2887
CHLD 2 601.253906 1567449622.2888
CHLD 3 601.253906 1567449622.2888
MEM 709.003906 1567449622.3895
CHLD 0 601.253906 1567449622.4032
CHLD 1 601.253906 1567449622.4033
CHLD 2 601.253906 1567449622.4033
CHLD 3 601.253906 1567449622.4034
MEM 709.003906 1567449622.5039
CHLD 0 601.253906 1567449622.5159
CHLD 1 601.253906 1567449622.5160
CHLD 2 601.253906 1567449622.5160
CHLD 3 601.253906 1567449622.5160
MEM 709.003906 1567449622.6165
CHLD 0 601.253906 1567449622.6281
CHLD 1 601.253906 1567449622.6281
CHLD 2 601.253906 1567449622.6282
CHLD 3 601.253906 1567449622.6282
MEM 709.003906 1567449622.7287
CHLD 0 601.253906 1567449622.7428
CHLD 1 601.253906 1567449622.7429
CHLD 2 601.253906 1567449622.7429
CHLD 3 601.253906 1567449622.7430
MEM 709.003906 1567449622.8433
CHLD 0 601.253906 1567449622.8512
CHLD 1 601.253906 1567449622.8513
CHLD 2 601.253906 1567449622.8513
CHLD 3 601.253906 1567449622.8514
MEM 709.003906 1567449622.9518
CHLD 0 601.253906 1567449622.9599
CHLD 1 601.253906 1567449622.9599
CHLD 2 601.253906 1567449622.9600
CHLD 3 601.253906 1567449622.9600
MEM 709.003906 1567449623.0605
CHLD 0 601.253906 1567449623.0721
CHLD 1 601.253906 1567449623.0722
CHLD 2 601.253906 1567449623.0722
CHLD 3 601.253906 1567449623.0722
MEM 709.003906 1567449623.1727
CHLD 0 601.253906 1567449623.1841
CHLD 1 601.253906 1567449623.1842
CHLD 2 601.253906 1567449623.1842
CHLD 3 601.253906 1567449623.1842
MEM 709.003906 1567449623.2847
CHLD 0 601.253906 1567449623.2973
CHLD 1 601.253906 1567449623.2974
CHLD 2 601.253906 1567449623.2975
CHLD 3 601.253906 1567449623.2975
MEM 709.003906 1567449623.3980
CHLD 0 601.253906 1567449623.4093
CHLD 1 601.253906 1567449623.4093
CHLD 2 601.253906 1567449623.4094
CHLD 3 601.253906 1567449623.4094
MEM 709.003906 1567449623.5099
CHLD 0 601.253906 1567449623.5213
CHLD 1 601.253906 1567449623.5213
CHLD 2 601.253906 1567449623.5214
CHLD 3 601.253906 1567449623.5214
MEM 709.003906 1567449623.6219
CHLD 0 601.253906 1567449623.6348
CHLD 1 601.253906 1567449623.6349
CHLD 2 601.253906 1567449623.6349
CHLD 3 601.253906 1567449623.6350
MEM 709.003906 1567449623.7354
CHLD 0 601.253906 1567449623.7474
CHLD 1 601.253906 1567449623.7474
CHLD 2 601.253906 1567449623.7475
CHLD 3 601.253906 1567449623.7475
MEM 709.003906 1567449623.8480
CHLD 0 601.253906 1567449623.8588
CHLD 1 601.253906 1567449623.8588
CHLD 2 601.253906 1567449623.8589
CHLD 3 601.253906 1567449623.8589
MEM 709.003906 1567449623.9593
CHLD 0 601.253906 1567449623.9669
CHLD 1 601.253906 1567449623.9670
CHLD 2 601.253906 1567449623.9670
CHLD 3 601.253906 1567449623.9670
MEM 709.003906 1567449624.0674
CHLD 0 601.253906 1567449624.0797
CHLD 1 601.253906 1567449624.0797
CHLD 2 601.253906 1567449624.0798
CHLD 3 601.253906 1567449624.0798
MEM 709.003906 1567449624.1804
CHLD 0 601.253906 1567449624.1934
CHLD 1 601.253906 1567449624.1934
CHLD 2 601.253906 1567449624.1935
CHLD 3 601.253906 1567449624.1935
MEM 709.003906 1567449624.2940
CHLD 0 601.253906 1567449624.3042
CHLD 1 601.253906 1567449624.3043
CHLD 2 601.253906 1567449624.3043
CHLD 3 601.253906 1567449624.3043
MEM 709.003906 1567449624.4048
CHLD 0 601.253906 1567449624.4159
CHLD 1 601.253906 1567449624.4160
CHLD 2 601.253906 1567449624.4161
CHLD 3 601.253906 1567449624.4162
MEM 709.003906 1567449624.5167
CHLD 0 601.253906 1567449624.5291
CHLD 1 601.253906 1567449624.5291
CHLD 2 601.253906 1567449624.5292
CHLD 3 601.253906 1567449624.5293
MEM 709.003906 1567449624.6297
CHLD 0 601.253906 1567449624.6387
CHLD 1 601.253906 1567449624.6388
CHLD 2 601.253906 1567449624.6388
CHLD 3 601.253906 1567449624.6388
MEM 709.003906 1567449624.7393
CHLD 0 601.253906 1567449624.7526
CHLD 1 601.253906 1567449624.7528
CHLD 2 601.253906 1567449624.7529
CHLD 3 601.253906 1567449624.7530
