CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.066406 1567449933.3780
MEM 13.992188 1567449933.4876
MEM 24.187500 1567449933.6115
MEM 35.195312 1567449933.7232
MEM 40.707031 1567449933.8313
MEM 51.386719 1567449933.9447
MEM 69.015625 1567449934.0564
MEM 76.984375 1567449934.1707
MEM 85.566406 1567449934.2824
MEM 126.515625 1567449934.3979
MEM 159.671875 1567449934.5108
MEM 162.398438 1567449934.6262
MEM 162.652344 1567449934.7412
MEM 168.507812 1567449934.8595
MEM 174.265625 1567449934.9703
MEM 179.304688 1567449935.0814
MEM 184.109375 1567449935.1953
MEM 189.199219 1567449935.3118
MEM 195.000000 1567449935.4465
MEM 203.175781 1567449935.5618
MEM 207.195312 1567449935.6782
MEM 212.378906 1567449935.7916
MEM 220.273438 1567449935.9057
MEM 229.484375 1567449936.0171
MEM 236.726562 1567449936.1334
MEM 252.019531 1567449936.2450
MEM 255.531250 1567449936.3569
MEM 261.718750 1567449936.4715
MEM 268.746094 1567449936.5830
MEM 283.957031 1567449936.6946
MEM 298.394531 1567449936.8095
MEM 331.539062 1567449936.9289
MEM 317.890625 1567449937.0433
MEM 362.828125 1567449937.1561
MEM 479.359375 1567449937.2651
MEM 639.718750 1567449937.3823
MEM 676.910156 1567449937.4924
MEM 632.855469 1567449937.6060
MEM 707.722656 1567449937.7170
MEM 708.269531 1567449937.8295
CHLD 0 601.113281 1567449937.8427
CHLD 1 601.121094 1567449937.8427
CHLD 2 601.121094 1567449937.8428
CHLD 3 601.121094 1567449937.8429
CHLD 4 0.000000 1567449937.8429
MEM 708.324219 1567449937.9435
CHLD 0 601.113281 1567449937.9590
CHLD 1 601.121094 1567449937.9591
CHLD 2 601.121094 1567449937.9591
CHLD 3 601.121094 1567449937.9592
CHLD 4 0.000000 1567449937.9593
MEM 708.328125 1567449938.0597
CHLD 0 601.113281 1567449938.0694
CHLD 1 601.121094 1567449938.0694
CHLD 2 601.121094 1567449938.0694
CHLD 3 601.121094 1567449938.0695
MEM 708.328125 1567449938.1701
CHLD 0 601.113281 1567449938.1821
CHLD 1 601.121094 1567449938.1821
CHLD 2 601.121094 1567449938.1821
CHLD 3 601.121094 1567449938.1822
MEM 708.328125 1567449938.2825
CHLD 0 601.113281 1567449938.2924
CHLD 1 601.121094 1567449938.2924
CHLD 2 601.121094 1567449938.2925
CHLD 3 601.121094 1567449938.2925
MEM 708.328125 1567449938.3930
CHLD 0 601.113281 1567449938.4054
CHLD 1 601.121094 1567449938.4054
CHLD 2 601.121094 1567449938.4055
CHLD 3 601.121094 1567449938.4055
MEM 708.328125 1567449938.5060
CHLD 0 601.113281 1567449938.5180
CHLD 1 601.121094 1567449938.5180
CHLD 2 601.121094 1567449938.5181
CHLD 3 601.121094 1567449938.5182
MEM 708.328125 1567449938.6187
CHLD 0 601.113281 1567449938.6286
CHLD 1 601.121094 1567449938.6287
CHLD 2 601.121094 1567449938.6287
CHLD 3 601.121094 1567449938.6288
MEM 708.328125 1567449938.7292
CHLD 0 601.113281 1567449938.7395
CHLD 1 601.121094 1567449938.7396
CHLD 2 601.121094 1567449938.7396
CHLD 3 601.121094 1567449938.7396
MEM 708.328125 1567449938.8400
CHLD 0 601.113281 1567449938.8505
CHLD 1 601.121094 1567449938.8506
CHLD 2 601.121094 1567449938.8506
CHLD 3 601.121094 1567449938.8507
MEM 708.328125 1567449938.9512
CHLD 0 601.113281 1567449938.9614
CHLD 1 601.121094 1567449938.9615
CHLD 2 601.121094 1567449938.9615
CHLD 3 601.121094 1567449938.9615
MEM 708.328125 1567449939.0621
CHLD 0 601.113281 1567449939.0750
CHLD 1 601.121094 1567449939.0751
CHLD 2 601.121094 1567449939.0751
CHLD 3 601.121094 1567449939.0751
MEM 708.328125 1567449939.1757
CHLD 0 601.113281 1567449939.1869
CHLD 1 601.121094 1567449939.1870
CHLD 2 601.121094 1567449939.1870
CHLD 3 601.121094 1567449939.1871
MEM 708.328125 1567449939.2875
CHLD 0 601.113281 1567449939.2963
CHLD 1 601.121094 1567449939.2963
CHLD 2 601.121094 1567449939.2964
CHLD 3 601.121094 1567449939.2964
MEM 708.328125 1567449939.3968
CHLD 0 601.113281 1567449939.4065
CHLD 1 601.121094 1567449939.4065
CHLD 2 601.121094 1567449939.4066
CHLD 3 601.121094 1567449939.4066
MEM 708.328125 1567449939.5071
CHLD 0 601.113281 1567449939.5211
CHLD 1 601.121094 1567449939.5212
CHLD 2 601.121094 1567449939.5213
CHLD 3 601.121094 1567449939.5213
MEM 708.328125 1567449939.6218
CHLD 0 601.113281 1567449939.6304
CHLD 1 601.121094 1567449939.6304
CHLD 2 601.121094 1567449939.6305
CHLD 3 601.121094 1567449939.6305
MEM 708.328125 1567449939.7309
CHLD 0 601.113281 1567449939.7411
CHLD 1 601.121094 1567449939.7411
CHLD 2 601.121094 1567449939.7412
CHLD 3 601.121094 1567449939.7412
MEM 708.328125 1567449939.8416
CHLD 0 601.113281 1567449939.8500
CHLD 1 601.121094 1567449939.8500
CHLD 2 601.121094 1567449939.8501
CHLD 3 601.121094 1567449939.8501
MEM 708.328125 1567449939.9506
CHLD 0 601.113281 1567449939.9673
CHLD 1 601.121094 1567449939.9674
CHLD 2 601.121094 1567449939.9675
CHLD 3 601.121094 1567449939.9675
MEM 708.328125 1567449940.0680
CHLD 0 601.113281 1567449940.0780
CHLD 1 601.121094 1567449940.0781
CHLD 2 601.121094 1567449940.0781
CHLD 3 601.121094 1567449940.0782
MEM 708.328125 1567449940.1786
CHLD 0 601.113281 1567449940.1876
CHLD 1 601.121094 1567449940.1877
CHLD 2 601.121094 1567449940.1877
CHLD 3 601.121094 1567449940.1878
MEM 708.328125 1567449940.2884
CHLD 0 601.113281 1567449940.3003
CHLD 1 601.121094 1567449940.3004
CHLD 2 601.121094 1567449940.3004
CHLD 3 601.121094 1567449940.3004
MEM 708.328125 1567449940.4011
CHLD 0 601.113281 1567449940.4162
CHLD 1 601.121094 1567449940.4162
CHLD 2 601.121094 1567449940.4163
CHLD 3 601.121094 1567449940.4163
MEM 708.328125 1567449940.5167
CHLD 0 601.113281 1567449940.5265
CHLD 1 601.121094 1567449940.5265
CHLD 2 601.121094 1567449940.5265
CHLD 3 601.121094 1567449940.5266
MEM 708.328125 1567449940.6270
CHLD 0 601.113281 1567449940.6387
CHLD 1 601.121094 1567449940.6387
CHLD 2 601.121094 1567449940.6387
CHLD 3 601.121094 1567449940.6388
MEM 708.328125 1567449940.7392
CHLD 0 601.113281 1567449940.7472
CHLD 1 601.121094 1567449940.7472
CHLD 2 601.121094 1567449940.7473
CHLD 3 601.121094 1567449940.7473
MEM 708.328125 1567449940.8477
CHLD 0 601.113281 1567449940.8576
CHLD 1 601.121094 1567449940.8577
CHLD 2 601.121094 1567449940.8577
CHLD 3 601.121094 1567449940.8578
MEM 708.328125 1567449940.9581
CHLD 0 601.113281 1567449940.9663
CHLD 1 601.121094 1567449940.9663
CHLD 2 601.121094 1567449940.9664
CHLD 3 601.121094 1567449940.9664
MEM 708.328125 1567449941.0668
CHLD 0 601.113281 1567449941.0764
CHLD 1 601.121094 1567449941.0764
CHLD 2 601.121094 1567449941.0765
CHLD 3 601.121094 1567449941.0765
