CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.894531 1567450206.4286
MEM 15.964844 1567450206.5434
MEM 29.644531 1567450206.6626
MEM 38.687500 1567450206.7789
MEM 45.093750 1567450206.8965
MEM 66.617188 1567450207.0165
MEM 73.726562 1567450207.1369
MEM 78.691406 1567450207.2541
MEM 84.882812 1567450207.3797
MEM 127.636719 1567450207.5068
MEM 161.886719 1567450207.6160
MEM 162.562500 1567450207.7327
MEM 167.750000 1567450207.8579
MEM 176.375000 1567450207.9725
MEM 180.750000 1567450208.0878
MEM 186.375000 1567450208.2026
MEM 191.656250 1567450208.3135
MEM 202.765625 1567450208.4334
MEM 207.324219 1567450208.5482
MEM 212.757812 1567450208.6629
MEM 215.210938 1567450208.7765
MEM 226.093750 1567450208.8894
MEM 232.582031 1567450209.0010
MEM 245.476562 1567450209.1122
MEM 252.339844 1567450209.2234
MEM 260.386719 1567450209.3323
MEM 263.738281 1567450209.4433
MEM 276.292969 1567450209.5608
MEM 290.214844 1567450209.6913
MEM 304.652344 1567450209.8033
MEM 363.824219 1567450209.9185
MEM 363.199219 1567450210.0296
MEM 445.957031 1567450210.1404
MEM 596.261719 1567450210.2496
MEM 677.281250 1567450210.3608
MEM 632.417969 1567450210.4727
MEM 700.628906 1567450210.5816
MEM 708.589844 1567450210.6923
CHLD 0 601.117188 1567450210.7087
CHLD 1 601.125000 1567450210.7088
CHLD 2 601.125000 1567450210.7089
CHLD 3 601.125000 1567450210.7090
CHLD 4 605.136719 1567450210.7090
MEM 708.601562 1567450210.8095
CHLD 0 601.117188 1567450210.8408
CHLD 1 601.125000 1567450210.8409
CHLD 2 601.125000 1567450210.8409
CHLD 3 601.125000 1567450210.8410
CHLD 4 609.089844 1567450210.8411
CHLD 5 608.757812 1567450210.8411
CHLD 6 605.933594 1567450210.8412
CHLD 7 605.816406 1567450210.8413
CHLD 8 601.242188 1567450210.8413
CHLD 9 0.007812 1567450210.8414
CHLD 10 6.402344 1567450210.8414
MEM 708.605469 1567450210.9419
CHLD 0 601.117188 1567450210.9828
CHLD 1 601.125000 1567450210.9829
CHLD 2 601.125000 1567450210.9830
CHLD 3 601.125000 1567450210.9830
CHLD 4 612.363281 1567450210.9831
CHLD 5 610.968750 1567450210.9832
CHLD 6 608.148438 1567450210.9832
CHLD 7 607.656250 1567450210.9833
CHLD 8 601.242188 1567450210.9833
CHLD 9 601.242188 1567450210.9834
CHLD 10 601.246094 1567450210.9835
CHLD 11 601.246094 1567450210.9835
CHLD 12 7.515625 1567450210.9836
CHLD 13 7.878906 1567450210.9836
CHLD 14 8.531250 1567450210.9837
CHLD 15 9.031250 1567450210.9838
MEM 708.613281 1567450211.0842
CHLD 0 601.117188 1567450211.1273
CHLD 1 601.125000 1567450211.1274
CHLD 2 601.125000 1567450211.1274
CHLD 3 601.125000 1567450211.1275
CHLD 4 616.300781 1567450211.1276
CHLD 5 614.320312 1567450211.1276
CHLD 6 611.730469 1567450211.1277
CHLD 7 610.394531 1567450211.1277
CHLD 8 601.242188 1567450211.1278
CHLD 9 601.242188 1567450211.1279
CHLD 10 601.246094 1567450211.1279
CHLD 11 601.246094 1567450211.1280
CHLD 12 601.250000 1567450211.1280
CHLD 13 601.250000 1567450211.1281
CHLD 14 9.304688 1567450211.1282
CHLD 15 9.910156 1567450211.1282
CHLD 16 10.324219 1567450211.1283
CHLD 17 10.867188 1567450211.1284
MEM 708.613281 1567450211.2288
CHLD 0 601.117188 1567450211.2587
CHLD 1 601.125000 1567450211.2588
CHLD 2 601.125000 1567450211.2588
CHLD 3 601.125000 1567450211.2589
CHLD 4 617.835938 1567450211.2684
CHLD 5 617.769531 1567450211.2721
CHLD 6 614.695312 1567450211.2722
CHLD 7 614.218750 1567450211.2723
CHLD 8 601.242188 1567450211.2723
CHLD 9 601.242188 1567450211.2724
CHLD 10 601.246094 1567450211.2725
CHLD 11 601.246094 1567450211.2725
CHLD 12 601.250000 1567450211.2726
CHLD 13 601.250000 1567450211.2727
CHLD 14 601.253906 1567450211.2727
CHLD 15 601.253906 1567450211.2728
