CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 5.023438 1567450358.7394
MEM 15.164062 1567450358.8494
MEM 30.503906 1567450358.9785
MEM 38.980469 1567450359.0879
MEM 45.257812 1567450359.1963
MEM 68.039062 1567450359.3074
MEM 77.355469 1567450359.4156
MEM 84.578125 1567450359.5255
MEM 127.628906 1567450359.6341
MEM 162.726562 1567450359.7472
MEM 163.320312 1567450359.8610
MEM 169.281250 1567450359.9756
MEM 177.738281 1567450360.0898
MEM 182.609375 1567450360.1982
MEM 187.886719 1567450360.3091
MEM 195.796875 1567450360.4175
MEM 204.851562 1567450360.5276
MEM 213.757812 1567450360.6365
MEM 216.875000 1567450360.7458
MEM 228.218750 1567450360.8597
MEM 234.375000 1567450360.9735
MEM 250.250000 1567450361.0819
MEM 255.230469 1567450361.1964
MEM 263.093750 1567450361.3097
MEM 266.800781 1567450361.4247
MEM 282.527344 1567450361.5331
MEM 297.996094 1567450361.6433
MEM 347.238281 1567450361.7522
MEM 319.558594 1567450361.8628
MEM 364.539062 1567450361.9733
MEM 509.945312 1567450362.0926
MEM 637.304688 1567450362.2015
MEM 678.625000 1567450362.3145
MEM 635.089844 1567450362.4298
MEM 709.792969 1567450362.5401
MEM 709.937500 1567450362.6493
CHLD 0 601.109375 1567450362.6773
CHLD 1 601.117188 1567450362.6774
CHLD 2 601.117188 1567450362.6775
CHLD 3 601.117188 1567450362.6776
CHLD 4 607.375000 1567450362.6776
CHLD 5 605.925781 1567450362.6777
CHLD 6 605.390625 1567450362.6778
CHLD 7 602.699219 1567450362.6778
CHLD 8 0.007812 1567450362.6779
MEM 709.957031 1567450362.7783
CHLD 0 601.109375 1567450362.8128
CHLD 1 601.117188 1567450362.8129
CHLD 2 601.117188 1567450362.8129
CHLD 3 601.117188 1567450362.8130
CHLD 4 613.585938 1567450362.8130
CHLD 5 609.378906 1567450362.8131
CHLD 6 607.562500 1567450362.8131
CHLD 7 605.859375 1567450362.8132
CHLD 8 601.222656 1567450362.8132
CHLD 9 601.222656 1567450362.8133
CHLD 10 601.226562 1567450362.8133
CHLD 11 0.007812 1567450362.8134
CHLD 12 6.992188 1567450362.8134
CHLD 13 8.550781 1567450362.8135
CHLD 14 8.687500 1567450362.8135
MEM 709.960938 1567450362.9139
CHLD 0 601.109375 1567450362.9783
CHLD 1 601.117188 1567450362.9784
CHLD 2 601.117188 1567450362.9785
CHLD 3 601.117188 1567450362.9785
CHLD 4 617.589844 1567450362.9786
CHLD 5 612.320312 1567450362.9786
CHLD 6 615.171875 1567450362.9787
CHLD 7 609.265625 1567450362.9788
CHLD 8 601.222656 1567450362.9788
CHLD 9 601.222656 1567450362.9789
CHLD 10 601.226562 1567450362.9789
CHLD 11 601.226562 1567450362.9790
CHLD 12 601.230469 1567450362.9790
CHLD 13 8.316406 1567450362.9791
CHLD 14 9.519531 1567450362.9791
CHLD 15 9.746094 1567450362.9792
CHLD 16 10.781250 1567450362.9792
MEM 709.968750 1567450363.0796
CHLD 0 601.109375 1567450363.1130
CHLD 1 601.117188 1567450363.1130
CHLD 2 601.117188 1567450363.1131
CHLD 3 601.117188 1567450363.1131
CHLD 4 617.800781 1567450363.1132
CHLD 5 616.015625 1567450363.1133
CHLD 6 617.925781 1567450363.1133
CHLD 7 612.171875 1567450363.1134
CHLD 8 601.222656 1567450363.1134
CHLD 9 601.222656 1567450363.1135
CHLD 10 601.226562 1567450363.1135
CHLD 11 601.226562 1567450363.1136
CHLD 12 601.230469 1567450363.1137
CHLD 13 601.230469 1567450363.1137
CHLD 14 601.234375 1567450363.1138
CHLD 15 601.234375 1567450363.1138
CHLD 16 10.613281 1567450363.1139
CHLD 17 11.058594 1567450363.1140
CHLD 18 10.917969 1567450363.1140
CHLD 19 11.058594 1567450363.1141
MEM 709.968750 1567450363.2162
CHLD 0 601.109375 1567450363.2633
CHLD 1 601.117188 1567450363.2634
CHLD 2 601.117188 1567450363.2635
CHLD 3 601.117188 1567450363.2635
CHLD 4 618.089844 1567450363.2636
CHLD 5 617.859375 1567450363.2636
CHLD 6 618.136719 1567450363.2637
CHLD 7 617.710938 1567450363.2637
CHLD 8 601.222656 1567450363.2638
CHLD 9 601.222656 1567450363.2638
CHLD 10 601.226562 1567450363.2639
CHLD 11 601.226562 1567450363.2639
CHLD 12 601.230469 1567450363.2640
CHLD 13 601.230469 1567450363.2640
CHLD 14 601.234375 1567450363.2641
CHLD 15 601.234375 1567450363.2641
CHLD 16 10.890625 1567450363.2642
CHLD 17 11.058594 1567450363.2642
