CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.894531 1567450801.6626
MEM 17.886719 1567450801.7702
MEM 35.039062 1567450801.8822
MEM 42.484375 1567450801.9896
MEM 46.945312 1567450802.0970
MEM 66.058594 1567450802.2046
MEM 72.195312 1567450802.3121
MEM 77.777344 1567450802.4196
MEM 82.187500 1567450802.5279
MEM 103.167969 1567450802.6354
MEM 146.050781 1567450802.7430
MEM 162.332031 1567450802.8547
MEM 164.640625 1567450802.9674
MEM 172.921875 1567450803.0798
MEM 179.273438 1567450803.1926
MEM 182.300781 1567450803.3045
MEM 187.390625 1567450803.4267
MEM 192.875000 1567450803.5386
MEM 202.125000 1567450803.6521
MEM 203.867188 1567450803.7648
MEM 212.207031 1567450803.8795
MEM 217.644531 1567450803.9908
MEM 228.437500 1567450804.1036
MEM 236.589844 1567450804.2163
MEM 250.972656 1567450804.3293
MEM 254.386719 1567450804.4418
MEM 261.378906 1567450804.5539
MEM 268.933594 1567450804.6662
MEM 285.691406 1567450804.7780
MEM 302.191406 1567450804.8900
MEM 355.968750 1567450805.0019
MEM 362.562500 1567450805.1136
MEM 456.980469 1567450805.2244
MEM 619.660156 1567450805.3370
MEM 676.710938 1567450805.4498
MEM 644.257812 1567450805.5643
MEM 707.957031 1567450805.6760
CHLD 0 601.093750 1567450805.6878
MEM 708.054688 1567450805.8025
CHLD 0 601.093750 1567450805.8452
CHLD 1 601.093750 1567450805.8452
CHLD 2 601.093750 1567450805.8453
CHLD 3 601.097656 1567450805.8454
CHLD 4 607.308594 1567450805.8454
CHLD 5 606.082031 1567450805.8455
CHLD 6 605.792969 1567450805.8455
CHLD 7 6.074219 1567450805.8456
MEM 708.074219 1567450805.9465
CHLD 0 601.093750 1567450805.9740
CHLD 1 601.093750 1567450805.9741
CHLD 2 601.093750 1567450805.9741
CHLD 3 601.097656 1567450805.9742
CHLD 4 609.953125 1567450805.9742
CHLD 5 608.996094 1567450805.9823
CHLD 6 606.078125 1567450805.9824
CHLD 7 605.429688 1567450805.9825
CHLD 8 601.222656 1567450805.9826
CHLD 9 601.222656 1567450805.9826
CHLD 10 0.007812 1567450805.9827
CHLD 11 7.468750 1567450805.9827
CHLD 12 8.527344 1567450805.9828
MEM 708.074219 1567450806.0832
CHLD 0 601.093750 1567450806.0999
CHLD 1 601.093750 1567450806.1000
CHLD 2 601.093750 1567450806.1000
CHLD 3 601.097656 1567450806.1001
CHLD 4 611.769531 1567450806.1001
CHLD 5 609.832031 1567450806.1002
CHLD 6 607.207031 1567450806.1002
CHLD 7 605.664062 1567450806.1003
CHLD 8 601.222656 1567450806.1003
CHLD 9 601.222656 1567450806.1064
CHLD 10 601.226562 1567450806.1065
CHLD 11 601.226562 1567450806.1066
CHLD 12 6.769531 1567450806.1067
CHLD 13 8.617188 1567450806.1067
CHLD 14 9.359375 1567450806.1068
MEM 708.078125 1567450806.2145
CHLD 0 601.093750 1567450806.2805
CHLD 1 601.093750 1567450806.2806
CHLD 2 601.093750 1567450806.2806
CHLD 3 601.097656 1567450806.2807
CHLD 4 612.980469 1567450806.2807
CHLD 5 611.847656 1567450806.2808
CHLD 6 609.351562 1567450806.2808
CHLD 7 605.953125 1567450806.2809
CHLD 8 601.222656 1567450806.2809
CHLD 9 601.222656 1567450806.2810
CHLD 10 601.226562 1567450806.2810
CHLD 11 601.226562 1567450806.2811
CHLD 12 601.226562 1567450806.2811
CHLD 13 601.226562 1567450806.2812
CHLD 14 9.039062 1567450806.2812
CHLD 15 8.296875 1567450806.2813
CHLD 16 9.195312 1567450806.2813
CHLD 17 10.617188 1567450806.2814
MEM 708.289062 1567450806.3853
CHLD 0 0.000000 1567450806.4396
CHLD 1 0.000000 1567450806.4396
CHLD 2 0.000000 1567450806.4397
CHLD 3 0.000000 1567450806.4397
CHLD 4 615.542969 1567450806.4398
CHLD 5 613.937500 1567450806.4398
CHLD 6 611.496094 1567450806.4399
CHLD 7 608.093750 1567450806.4399
CHLD 8 601.222656 1567450806.4400
CHLD 9 601.222656 1567450806.4400
CHLD 10 601.226562 1567450806.4401
CHLD 11 601.226562 1567450806.4401
CHLD 12 601.226562 1567450806.4402
CHLD 13 601.226562 1567450806.4402
CHLD 14 601.230469 1567450806.4403
CHLD 15 601.230469 1567450806.4403
CHLD 16 10.871094 1567450806.4404
CHLD 17 9.429688 1567450806.4404
CHLD 18 10.984375 1567450806.4405
CHLD 19 10.890625 1567450806.4405
MEM 708.324219 1567450806.5411
CHLD 0 0.000000 1567450806.5575
CHLD 1 0.000000 1567450806.5576
CHLD 2 0.000000 1567450806.5576
CHLD 3 0.000000 1567450806.5577
CHLD 4 0.000000 1567450806.5577
CHLD 5 0.000000 1567450806.5578
CHLD 6 0.000000 1567450806.5578
CHLD 7 0.000000 1567450806.5579
CHLD 8 0.000000 1567450806.5579
CHLD 9 0.000000 1567450806.5580
CHLD 10 0.000000 1567450806.5580
CHLD 11 0.000000 1567450806.5581
CHLD 12 10.871094 1567450806.5581
CHLD 13 10.984375 1567450806.5582
CHLD 14 10.890625 1567450806.5582
MEM 708.398438 1567450806.6586
MEM 708.445312 1567450806.7699
MEM 708.195312 1567450806.8812
