CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.933594 1567453721.2853
MEM 19.011719 1567453721.4081
MEM 35.726562 1567453721.5307
MEM 43.449219 1567453721.6538
MEM 55.292969 1567453721.7703
MEM 71.941406 1567453721.8867
MEM 80.183594 1567453722.0030
MEM 126.335938 1567453722.1194
MEM 161.847656 1567453722.2358
MEM 162.570312 1567453722.3520
MEM 172.691406 1567453722.4680
MEM 179.625000 1567453722.5843
MEM 187.367188 1567453722.7006
MEM 200.132812 1567453722.8178
MEM 206.933594 1567453722.9341
MEM 213.589844 1567453723.0508
MEM 226.281250 1567453723.1670
MEM 233.351562 1567453723.2834
MEM 251.617188 1567453723.4000
MEM 256.515625 1567453723.5166
MEM 263.007812 1567453723.6331
MEM 278.355469 1567453723.7502
MEM 296.402344 1567453723.8729
MEM 308.519531 1567453723.9899
MEM 317.414062 1567453724.1069
MEM 367.824219 1567453724.2237
MEM 530.503906 1567453724.3403
MEM 692.925781 1567453724.4569
MEM 631.628906 1567453724.5733
MEM 700.855469 1567453724.6900
MEM 707.800781 1567453724.8123
CHLD 0 0.000000 1567453724.8231
CHLD 1 0.000000 1567453724.8232
CHLD 2 0.000000 1567453724.8232
MEM 707.800781 1567453724.9362
CHLD 0 0.000000 1567453724.9441
CHLD 1 0.000000 1567453724.9442
CHLD 2 0.000000 1567453724.9442
MEM 707.800781 1567453725.0582
CHLD 0 0.000000 1567453725.0662
CHLD 1 0.000000 1567453725.0662
CHLD 2 0.000000 1567453725.0662
MEM 707.800781 1567453725.1788
CHLD 0 0.000000 1567453725.1881
CHLD 1 0.000000 1567453725.1882
CHLD 2 0.000000 1567453725.1883
MEM 707.800781 1567453725.3026
CHLD 0 0.000000 1567453725.3106
CHLD 1 0.000000 1567453725.3106
CHLD 2 0.000000 1567453725.3107
MEM 707.800781 1567453725.4239
CHLD 0 0.000000 1567453725.4318
CHLD 1 0.000000 1567453725.4319
CHLD 2 0.000000 1567453725.4319
MEM 707.800781 1567453725.5444
CHLD 0 0.000000 1567453725.5523
CHLD 1 0.000000 1567453725.5523
CHLD 2 0.000000 1567453725.5524
MEM 707.800781 1567453725.6664
CHLD 0 0.000000 1567453725.6743
CHLD 1 0.000000 1567453725.6743
CHLD 2 0.000000 1567453725.6744
MEM 707.800781 1567453725.7889
CHLD 0 0.000000 1567453725.7974
CHLD 1 0.000000 1567453725.7974
CHLD 2 0.000000 1567453725.7975
MEM 707.800781 1567453725.9112
CHLD 0 0.000000 1567453725.9191
CHLD 1 0.000000 1567453725.9191
CHLD 2 0.000000 1567453725.9192
MEM 707.800781 1567453726.0323
CHLD 0 0.000000 1567453726.0406
CHLD 1 0.000000 1567453726.0407
CHLD 2 0.000000 1567453726.0407
MEM 707.800781 1567453726.1496
CHLD 0 0.000000 1567453726.1580
CHLD 1 0.000000 1567453726.1580
CHLD 2 0.000000 1567453726.1580
MEM 707.800781 1567453726.2697
CHLD 0 0.000000 1567453726.2778
CHLD 1 0.000000 1567453726.2779
CHLD 2 0.000000 1567453726.2779
MEM 707.800781 1567453726.3916
CHLD 0 0.000000 1567453726.3995
CHLD 1 0.000000 1567453726.3995
CHLD 2 0.000000 1567453726.3996
MEM 707.800781 1567453726.5123
CHLD 0 0.000000 1567453726.5202
CHLD 1 0.000000 1567453726.5202
CHLD 2 0.000000 1567453726.5202
MEM 707.800781 1567453726.6342
CHLD 0 0.000000 1567453726.6423
CHLD 1 0.000000 1567453726.6423
CHLD 2 0.000000 1567453726.6424
MEM 707.800781 1567453726.7564
CHLD 0 0.000000 1567453726.7651
CHLD 1 0.000000 1567453726.7651
CHLD 2 0.000000 1567453726.7651
MEM 707.800781 1567453726.8788
CHLD 0 0.000000 1567453726.8867
CHLD 1 0.000000 1567453726.8868
CHLD 2 0.000000 1567453726.8868
MEM 707.800781 1567453727.0001
CHLD 0 0.000000 1567453727.0082
CHLD 1 0.000000 1567453727.0083
CHLD 2 0.000000 1567453727.0083
MEM 707.800781 1567453727.1224
CHLD 0 0.000000 1567453727.1305
CHLD 1 0.000000 1567453727.1305
CHLD 2 0.000000 1567453727.1306
MEM 707.800781 1567453727.2439
CHLD 0 0.000000 1567453727.2519
CHLD 1 0.000000 1567453727.2520
CHLD 2 0.000000 1567453727.2520
MEM 707.800781 1567453727.3646
CHLD 0 0.000000 1567453727.3727
CHLD 1 0.000000 1567453727.3727
CHLD 2 0.000000 1567453727.3727
MEM 707.800781 1567453727.4867
CHLD 0 0.000000 1567453727.4946
CHLD 1 0.000000 1567453727.4946
CHLD 2 0.000000 1567453727.4947
MEM 707.800781 1567453727.6079
CHLD 0 0.000000 1567453727.6159
CHLD 1 0.000000 1567453727.6160
CHLD 2 0.000000 1567453727.6160
MEM 707.800781 1567453727.7302
CHLD 0 0.000000 1567453727.7399
CHLD 1 0.000000 1567453727.7399
CHLD 2 0.000000 1567453727.7399
MEM 707.800781 1567453727.8524
CHLD 0 0.000000 1567453727.8604
CHLD 1 0.000000 1567453727.8604
CHLD 2 0.000000 1567453727.8604
MEM 707.800781 1567453727.9745
CHLD 0 0.000000 1567453727.9826
CHLD 1 0.000000 1567453727.9826
CHLD 2 0.000000 1567453727.9826
MEM 707.800781 1567453728.0957
CHLD 0 0.000000 1567453728.1036
CHLD 1 0.000000 1567453728.1037
CHLD 2 0.000000 1567453728.1037
MEM 707.800781 1567453728.2167
CHLD 0 0.000000 1567453728.2248
CHLD 1 0.000000 1567453728.2248
CHLD 2 0.000000 1567453728.2249
MEM 707.800781 1567453728.3393
CHLD 0 0.000000 1567453728.3547
CHLD 1 0.000000 1567453728.3548
CHLD 2 0.000000 1567453728.3548
MEM 707.800781 1567453728.4678
CHLD 0 0.000000 1567453728.4761
CHLD 1 0.000000 1567453728.4761
CHLD 2 0.000000 1567453728.4761
MEM 707.800781 1567453728.5915
CHLD 0 0.000000 1567453728.6000
CHLD 1 0.000000 1567453728.6000
CHLD 2 0.000000 1567453728.6001
MEM 707.800781 1567453728.7131
CHLD 0 0.000000 1567453728.7214
CHLD 1 0.000000 1567453728.7214
CHLD 2 0.000000 1567453728.7214
MEM 707.800781 1567453728.8356
CHLD 0 0.000000 1567453728.8439
CHLD 1 0.000000 1567453728.8440
CHLD 2 0.000000 1567453728.8440
MEM 707.800781 1567453728.9569
CHLD 0 0.000000 1567453728.9653
CHLD 1 0.000000 1567453728.9653
CHLD 2 0.000000 1567453728.9653
MEM 707.800781 1567453729.0794
CHLD 0 0.000000 1567453729.0876
CHLD 1 0.000000 1567453729.0876
CHLD 2 0.000000 1567453729.0877
MEM 707.800781 1567453729.2007
CHLD 0 0.000000 1567453729.2089
CHLD 1 0.000000 1567453729.2089
CHLD 2 0.000000 1567453729.2090
MEM 707.800781 1567453729.3232
CHLD 0 0.000000 1567453729.3315
CHLD 1 0.000000 1567453729.3315
CHLD 2 0.000000 1567453729.3315
MEM 707.800781 1567453729.4447
CHLD 0 0.000000 1567453729.4531
CHLD 1 0.000000 1567453729.4531
CHLD 2 0.000000 1567453729.4532
MEM 707.800781 1567453729.5672
CHLD 0 0.000000 1567453729.5753
CHLD 1 0.000000 1567453729.5753
CHLD 2 0.000000 1567453729.5754
MEM 707.800781 1567453729.6883
CHLD 0 0.000000 1567453729.6964
CHLD 1 0.000000 1567453729.6965
CHLD 2 0.000000 1567453729.6965
MEM 707.800781 1567453729.8107
CHLD 0 0.000000 1567453729.8187
CHLD 1 0.000000 1567453729.8188
CHLD 2 0.000000 1567453729.8188
MEM 707.800781 1567453729.9334
CHLD 0 0.000000 1567453729.9419
CHLD 1 0.000000 1567453729.9420
CHLD 2 0.000000 1567453729.9420
MEM 707.800781 1567453730.0559
CHLD 0 0.000000 1567453730.0643
CHLD 1 0.000000 1567453730.0643
CHLD 2 0.000000 1567453730.0644
MEM 707.800781 1567453730.1792
CHLD 0 0.000000 1567453730.1887
CHLD 1 0.000000 1567453730.1887
CHLD 2 0.000000 1567453730.1887
MEM 707.800781 1567453730.3026
CHLD 0 0.000000 1567453730.3107
CHLD 1 0.000000 1567453730.3108
CHLD 2 0.000000 1567453730.3108
MEM 707.800781 1567453730.4243
CHLD 0 0.000000 1567453730.4325
CHLD 1 0.000000 1567453730.4325
CHLD 2 0.000000 1567453730.4326
MEM 707.800781 1567453730.5415
CHLD 0 0.000000 1567453730.5542
CHLD 1 0.000000 1567453730.5543
CHLD 2 0.000000 1567453730.5544
MEM 707.800781 1567453730.6651
CHLD 0 0.000000 1567453730.6735
CHLD 1 0.000000 1567453730.6736
CHLD 2 0.000000 1567453730.6736
MEM 707.800781 1567453730.7873
CHLD 0 0.000000 1567453730.7953
CHLD 1 0.000000 1567453730.7953
CHLD 2 0.000000 1567453730.7954
MEM 707.800781 1567453730.9084
CHLD 0 0.000000 1567453730.9166
CHLD 1 0.000000 1567453730.9166
CHLD 2 0.000000 1567453730.9166
MEM 707.800781 1567453731.0309
CHLD 0 0.000000 1567453731.0391
CHLD 1 0.000000 1567453731.0391
CHLD 2 0.000000 1567453731.0391
MEM 707.800781 1567453731.1520
CHLD 0 0.000000 1567453731.1601
CHLD 1 0.000000 1567453731.1601
CHLD 2 0.000000 1567453731.1602
MEM 707.800781 1567453731.2745
CHLD 0 0.000000 1567453731.2824
CHLD 1 0.000000 1567453731.2824
CHLD 2 0.000000 1567453731.2824
MEM 707.800781 1567453731.3950
CHLD 0 0.000000 1567453731.4060
CHLD 1 0.000000 1567453731.4060
CHLD 2 0.000000 1567453731.4061
MEM 707.800781 1567453731.5167
CHLD 0 0.000000 1567453731.5258
CHLD 1 0.000000 1567453731.5258
CHLD 2 0.000000 1567453731.5259
MEM 707.800781 1567453731.6403
CHLD 0 0.000000 1567453731.6489
CHLD 1 0.000000 1567453731.6489
CHLD 2 0.000000 1567453731.6490
MEM 707.800781 1567453731.7637
CHLD 0 0.000000 1567453731.7730
CHLD 1 0.000000 1567453731.7730
CHLD 2 0.000000 1567453731.7730
MEM 707.800781 1567453731.8858
CHLD 0 0.000000 1567453731.8947
CHLD 1 0.000000 1567453731.8947
CHLD 2 0.000000 1567453731.8947
MEM 707.800781 1567453732.0084
CHLD 0 0.000000 1567453732.0166
CHLD 1 0.000000 1567453732.0167
CHLD 2 0.000000 1567453732.0167
MEM 707.800781 1567453732.1312
CHLD 0 0.000000 1567453732.1397
CHLD 1 0.000000 1567453732.1398
CHLD 2 0.000000 1567453732.1398
MEM 707.800781 1567453732.2509
CHLD 0 0.000000 1567453732.2600
CHLD 1 0.000000 1567453732.2601
CHLD 2 0.000000 1567453732.2601
