CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.027344 1567453740.0829
MEM 19.167969 1567453740.2055
MEM 35.941406 1567453740.3216
MEM 44.976562 1567453740.4378
MEM 67.761719 1567453740.5539
MEM 78.636719 1567453740.6701
MEM 96.468750 1567453740.7865
MEM 161.210938 1567453740.9028
MEM 164.660156 1567453741.0188
MEM 170.527344 1567453741.1347
MEM 180.410156 1567453741.2508
MEM 186.589844 1567453741.3669
MEM 195.398438 1567453741.4830
MEM 206.382812 1567453741.6053
MEM 215.070312 1567453741.7339
MEM 225.750000 1567453741.8562
MEM 235.011719 1567453741.9723
MEM 251.800781 1567453742.0885
MEM 258.218750 1567453742.2052
MEM 265.890625 1567453742.3213
MEM 277.941406 1567453742.4373
MEM 295.988281 1567453742.5533
MEM 334.660156 1567453742.6698
MEM 321.136719 1567453742.7864
MEM 402.746094 1567453742.9030
MEM 578.832031 1567453743.0196
MEM 680.214844 1567453743.1374
MEM 639.253906 1567453743.2550
MEM 1317.027344 1567453743.3772
CHLD 0 605.710938 1567453743.3903
CHLD 1 605.519531 1567453743.3904
MEM 3165.007812 1567453743.5130
CHLD 0 611.210938 1567453743.5600
CHLD 1 617.886719 1567453743.5600
CHLD 2 609.695312 1567453743.5601
CHLD 3 609.023438 1567453743.5602
CHLD 4 6.894531 1567453743.5602
CHLD 5 7.582031 1567453743.5603
CHLD 6 9.597656 1567453743.5603
CHLD 7 8.523438 1567453743.5604
MEM 3221.113281 1567453743.6822
CHLD 0 618.125000 1567453743.7167
CHLD 1 619.343750 1567453743.7167
CHLD 2 616.335938 1567453743.7168
CHLD 3 618.683594 1567453743.7168
CHLD 4 10.968750 1567453743.7169
CHLD 5 10.847656 1567453743.7170
CHLD 6 10.886719 1567453743.7170
CHLD 7 10.898438 1567453743.7171
MEM 3247.089844 1567453743.8929
CHLD 0 620.148438 1567453743.9339
CHLD 1 634.753906 1567453743.9339
CHLD 2 618.769531 1567453743.9340
CHLD 3 623.656250 1567453743.9341
CHLD 4 10.968750 1567453743.9341
CHLD 5 10.847656 1567453743.9342
CHLD 6 10.886719 1567453743.9424
CHLD 7 10.898438 1567453743.9425
MEM 3262.082031 1567453744.0659
CHLD 0 630.207031 1567453744.0928
CHLD 1 636.199219 1567453744.0929
CHLD 2 621.257812 1567453744.0930
CHLD 3 631.296875 1567453744.0930
CHLD 4 10.968750 1567453744.0931
CHLD 5 10.847656 1567453744.0932
CHLD 6 10.886719 1567453744.0932
CHLD 7 10.898438 1567453744.0933
MEM 3289.726562 1567453744.2207
CHLD 0 635.890625 1567453744.2474
CHLD 1 638.570312 1567453744.2475
CHLD 2 625.921875 1567453744.2475
CHLD 3 635.992188 1567453744.2476
CHLD 4 10.968750 1567453744.2477
CHLD 5 10.847656 1567453744.2477
CHLD 6 10.886719 1567453744.2478
CHLD 7 10.898438 1567453744.2478
MEM 3303.519531 1567453744.3753
CHLD 0 638.343750 1567453744.3981
CHLD 1 638.863281 1567453744.3982
CHLD 2 636.070312 1567453744.3982
CHLD 3 638.566406 1567453744.3983
CHLD 4 10.968750 1567453744.3984
CHLD 5 10.847656 1567453744.3984
CHLD 6 10.886719 1567453744.3985
CHLD 7 10.898438 1567453744.3985
MEM 3313.667969 1567453744.5258
CHLD 0 638.648438 1567453744.5543
CHLD 1 642.449219 1567453744.5544
CHLD 2 638.816406 1567453744.5545
CHLD 3 641.640625 1567453744.5546
CHLD 4 10.968750 1567453744.5546
CHLD 5 10.847656 1567453744.5547
CHLD 6 10.886719 1567453744.5548
CHLD 7 10.898438 1567453744.5548
MEM 3322.234375 1567453744.6824
CHLD 0 642.527344 1567453744.7013
CHLD 1 643.128906 1567453744.7013
CHLD 2 638.816406 1567453744.7014
CHLD 3 642.812500 1567453744.7015
CHLD 4 10.968750 1567453744.7015
CHLD 5 10.847656 1567453744.7016
CHLD 6 10.886719 1567453744.7016
CHLD 7 10.898438 1567453744.7017
MEM 3329.433594 1567453744.8292
CHLD 0 643.277344 1567453744.8438
CHLD 1 643.957031 1567453744.8438
CHLD 2 643.796875 1567453744.8439
CHLD 3 643.558594 1567453744.8440
CHLD 4 10.968750 1567453744.8440
CHLD 5 10.847656 1567453744.8441
CHLD 6 10.886719 1567453744.8441
CHLD 7 10.898438 1567453744.8442
MEM 3350.785156 1567453744.9632
CHLD 0 644.191406 1567453744.9846
CHLD 1 654.183594 1567453744.9847
CHLD 2 656.644531 1567453744.9847
CHLD 3 644.308594 1567453744.9848
CHLD 4 10.968750 1567453744.9848
CHLD 5 10.847656 1567453744.9849
CHLD 6 10.886719 1567453744.9849
CHLD 7 10.898438 1567453744.9850
MEM 3370.117188 1567453745.1009
CHLD 0 655.183594 1567453745.1145
CHLD 1 657.449219 1567453745.1145
CHLD 2 660.429688 1567453745.1146
CHLD 3 645.113281 1567453745.1146
CHLD 4 10.968750 1567453745.1147
CHLD 5 10.847656 1567453745.1147
CHLD 6 10.886719 1567453745.1148
